image_id,color_variance,color_min,color_max,color_median,color_mean
ISIC_0015483,8140010445414.526,3377551.0331262574,13412356.842392176,6147143.85327645,6147143.85327645
ISIC_0012547,2190523236327.9077,2067357.630536251,6270945.590345416,3381601.0053780107,3381601.0053780107
ISIC_0012684,16784277571505.863,49.033590564271734,13154798.017737808,5352677.238092433,5352677.238092433
ISIC_0012160,255722516367.7935,2541810.070817625,4262656.721087195,3523776.6277412944,3523776.6277412944
ISIC_0012201,1011658612354.6655,2932727.8049232312,6165768.3961235415,3790439.148279377,3790439.148279377
ISIC_0014038,673412769333.5115,3080025.228535775,5730557.0851691,4067693.9497645106,4067693.9497645106
ISIC_0014302,2117556195495.7776,3013833.2711841655,8381826.181539004,6179877.425327863,6179877.425327863
ISIC_0012306,5785276174304.04,3395604.3274042457,8676106.035906559,4382834.209960869,4382834.209960869
ISIC_0013632,1057244221326.4653,2939952.7561361142,6096694.722598525,4171633.8728170185,4171633.8728170185
ISIC_0014211,596859971687.585,2626130.3089479045,5078640.24418618,3922218.296353201,3922218.296353201
ISIC_0014608,1243894717229.1858,2250709.8966962667,5087575.105092758,3533033.9805787764,3533033.9805787764
ISIC_0001852,6702757975158.014,3031685.5040452033,11335761.51320577,5455627.98625915,5455627.98625915
ISIC_0013215,343083589667.18225,3079790.8724612556,5034135.0208101,4313323.557942511,4313323.557942511
ISIC_0015211,17929981944360.76,3154846.47766147,14741992.837930884,5412085.193985353,5412085.193985353
ISIC_0014857,2116870723149.2466,1239574.7614843135,6235781.446996101,3645061.524755031,3645061.524755031
ISIC_0014037,5564700639937.18,2224259.138668644,10679225.84456823,4628145.750618657,4628145.750618657
ISIC_0013793,819594185234.0189,2205886.747868291,4492716.612938037,3612699.562106617,3612699.562106617
ISIC_0014931,12433500828994.674,2103146.084192225,13283650.003479784,4782494.450358766,4782494.450358766
ISIC_0007332,488509239279.3359,3381413.611699546,5852235.55566475,4431679.799000874,4431679.799000874
ISIC_0007235,1161404312074.9097,3218472.8160360283,6585887.757602141,4019383.693012107,4019383.693012107
ISIC_0012151,2325709110418.748,2520718.9631647374,7062889.307561412,3242818.8226156384,3242818.8226156384
ISIC_0014572,5149732190535.974,5000319.341579735,12654357.957256148,6805862.443484655,6805862.443484655
ISIC_0007528,849240814018.3414,2523148.775744068,5219732.756810301,3167751.516952587,3167751.516952587
ISIC_0012876,545045141835.0581,2840987.7369877505,4795359.571236723,3972872.8209213363,3972872.8209213363
ISIC_0007796,2167874481408.8174,2522566.702109261,6967803.337879054,5136012.786877008,5136012.786877008
ISIC_0014829,401205576479.6084,2071706.6891828105,3943474.3917519166,2833572.9948004647,2833572.9948004647
ISIC_0012316,718230956701.2024,2138992.8795037125,5025152.450664322,2874447.1971082455,2874447.1971082455
ISIC_0012513,203788688531.4971,3469981.8180875634,4702687.374286839,3623881.309216646,3623881.309216646
ISIC_0015124,16584107572770.033,4156919.9300252125,15569378.862485038,5019940.143611122,5019940.143611122
ISIC_0013518,296570088220.1932,3418023.3951449473,5034672.637307385,3965395.5480733826,3965395.5480733826
ISIC_0013421,300473478403.29675,1429224.1603534296,3292756.709592738,2086551.356090045,2086551.356090045
ISIC_0012965,2169843453388.3425,2981160.7817863785,7489434.523942276,4317418.929047775,4317418.929047775
ISIC_0014558,630771698619.8007,1620942.527380267,3966971.945384622,3144355.346628459,3144355.346628459
ISIC_0012400,244526390619.75986,3007694.2708877334,4657966.994859286,3896927.077722067,3896927.077722067
ISIC_0013562,5232877845182.534,3282678.7820745725,10309535.334244296,6891645.554652492,6891645.554652492
ISIC_0014618,7941998859558.048,4028510.7479775124,13171537.14266126,5271388.877749701,5271388.877749701
ISIC_0003657,341619216380.0007,2737517.2778603826,4689429.547930986,3561644.2840183284,3561644.2840183284
ISIC_0015445,3315391912808.299,560283.826220875,5116416.165269348,2130358.5371640683,2130358.5371640683
ISIC_0015043,902067987887.677,3549690.5378534407,6167908.164844039,4441334.893048137,4441334.893048137
ISIC_0015144,2791773481817.494,3606830.6830086005,9627275.34622953,4860416.15422801,4860416.15422801
ISIC_0013104,5193996050377.672,111.49369267641963,7401391.809682484,4156562.165167559,4156562.165167559
ISIC_0014945,5174703068393.144,1310749.4999805402,8896337.209526867,3220324.2340770215,3220324.2340770215
ISIC_0015401,3074726176716.4,1338560.3686675234,7069192.312298595,4030440.566862638,4030440.566862638
ISIC_0004337,2143014982023.1526,3608814.5663166516,8157800.279434764,5044940.6133080125,5044940.6133080125
ISIC_0007241,724844567594.3306,1953621.4643283123,4154543.6852414967,2585100.8634514296,2585100.8634514296
ISIC_0013663,485693404496.506,2711434.224409048,5378176.878935002,3944979.239131553,3944979.239131553
ISIC_0015062,3769042279718.2188,2517007.3801895697,8052052.587935637,4203909.540281592,4203909.540281592
ISIC_0012720,521096180877.3722,1353521.661324404,3748435.103336309,2312610.6842264757,2312610.6842264757
ISIC_0012221,286819303723.7129,2835540.9247009787,4268393.459858645,3151005.0116890175,3151005.0116890175
ISIC_0014623,3256977655322.019,3199554.3674159423,9108234.755219078,5466098.801717671,5466098.801717671
ISIC_0014989,1859510636634.969,4596405.905103931,8413856.080674944,6339401.848357166,6339401.848357166
ISIC_0012288,2940155857834.799,4174643.583296196,9149023.059585288,6440177.426184671,6440177.426184671
ISIC_0013828,713234388885.8088,2639047.9666261952,4895395.194882885,4528707.22155978,4528707.22155978
ISIC_0014568,1144644576453.6523,3621975.5455022245,6889625.987801491,5671864.453590754,5671864.453590754
ISIC_0014637,5266920244904.965,4789681.067446487,10726550.595094072,8900105.277610866,8900105.277610866
ISIC_0006914,279227338646.6173,3726375.3304970907,5315758.3805861315,4753811.47826379,4753811.47826379
ISIC_0015496,2658344451182.5957,2202145.753668995,7589045.157400916,5114191.983589498,5114191.983589498
ISIC_0015372,972195001586.5353,658444.1306428924,3651381.8305141972,2121749.427086343,2121749.427086343
ISIC_0012313,1646717624968.383,2993536.7476711473,6740237.383453162,5243309.173971033,5243309.173971033
ISIC_0014616,4757553393053.852,3288775.7382438444,8735753.936288761,4600605.198757409,4600605.198757409
ISIC_0012492,511767017866.08746,1242740.004878771,3444916.0296724043,2574487.1780714416,2574487.1780714416
ISIC_0012210,1210307117020.6917,4061640.0479227514,6796211.442079995,5303939.012834594,5303939.012834594
ISIC_0013188,539377114741.4851,797841.7896970583,3260935.272135226,2389059.383311381,2389059.383311381
ISIC_0013637,330203417721.3378,2414393.4308352596,4404544.403004824,3145837.9699319294,3145837.9699319294
ISIC_0003539,543651313839.07855,2601020.5414955807,4958504.348754605,3262664.9934502533,3262664.9934502533
ISIC_0012254,276501771110.14526,3459747.471540477,4891619.159693848,4389533.7428745525,4389533.7428745525
ISIC_0015313,8010656401730.551,5064851.949304805,12960017.810815044,8272444.961247512,8272444.961247512
ISIC_0014809,724114108400.1871,872931.9304451857,3512935.2065743944,2425933.631602086,2425933.631602086
ISIC_0013549,1452527385048.1118,2030072.9331003276,5517665.047161721,3286218.36038733,3286218.36038733
ISIC_0014633,2169619251658.7634,3940771.179083885,9829776.381953644,6433536.655518765,6433536.655518765
ISIC_0012434,2917225729112.132,4020169.019659797,9678375.370919203,6048611.245403991,6048611.245403991
ISIC_0013863,660012569263.641,3622941.1285292264,5626836.614388105,4505620.529008669,4505620.529008669
ISIC_0007141,4753983873223.473,2790525.50706266,8775458.146999322,5590905.186244298,5590905.186244298
ISIC_0012538,1759895437240.4324,1990741.0874384562,6085227.576620094,3159840.057644711,3159840.057644711
ISIC_0013945,163533414792.72488,2900679.260729477,3960358.7244555308,3557336.9002046757,3557336.9002046757
ISIC_0012204,932929435143.2064,3748242.8888699096,6648790.313347852,4625754.68370557,4625754.68370557
ISIC_0012380,1177192472135.2751,2854981.171868995,6277377.720635672,4353469.150251538,4353469.150251538
ISIC_0013527,278925846174.2104,2263024.58186386,3810425.7379124006,2784364.514694729,2784364.514694729
ISIC_0015627,966632360022.413,2304525.043588157,5455803.299366735,3812772.212422621,3812772.212422621
ISIC_0006671,293297616630.9691,3502800.5623179716,5138104.884601108,3976009.5327080125,3976009.5327080125
ISIC_0012956,599894070682.5872,2805478.5991747943,5204164.985062739,4140786.660327471,4140786.660327471
ISIC_0013491,1564673199042.3535,3337404.1245959178,7146881.216737359,4997326.283799049,4997326.283799049
ISIC_0014937,3100258838253.9272,3.1955237399118306,7750615.661451057,3691495.4401806053,3691495.4401806053
ISIC_0003462,14912097944421.0,2946064.051570818,12835967.56490969,7070200.53098557,7070200.53098557
ISIC_0014428,1011105078550.0935,2748031.955837871,6151799.123236857,4196423.65766655,4196423.65766655
ISIC_0001871,2279401594686.729,4071018.5458301893,9166991.086594086,7118902.10693112,7118902.10693112
ISIC_0014712,10587184712214.93,1548349.8211227625,11642249.871305594,4649542.298602167,4649542.298602167
ISIC_0013132,963165517996.2686,1172859.351177563,4582450.763666569,3107570.8821850875,3107570.8821850875
ISIC_0015243,3345844845806.0005,10.615171407731582,7735081.091807127,4660702.436530678,4660702.436530678
ISIC_0014601,8073459628199.078,135.95021956699344,9703829.890425857,7400021.297089461,7400021.297089461
ISIC_0012660,2819959231220.6777,2384695.345289113,7601942.0346845,4521406.14487057,4521406.14487057
ISIC_0014946,11181925307333.582,1103579.9360151642,10019660.497540213,4579198.177910547,4579198.177910547
ISIC_0013501,1263253127045.8157,2769654.7836848274,5823903.1642875075,4642813.996882584,4642813.996882584
ISIC_0013702,249183087081.9654,2281455.615959301,3897922.312689575,3367300.055288428,3367300.055288428
ISIC_0012746,1732131246583.1653,3332445.262821779,7432114.905029956,4373656.960086246,4373656.960086246
ISIC_0012143,3654498703833.6943,2959383.3026963356,8469529.282720141,4166887.1646297853,4166887.1646297853
ISIC_0014620,1939696267112.1353,3553375.3647635523,8161460.31020902,4676961.086997496,4676961.086997496
ISIC_0012222,1961569299553.2856,3159618.763929355,7545227.492626164,5471402.379644617,5471402.379644617
ISIC_0012126,2128656207312.5825,2586066.889172924,7432564.314001172,4430309.476859988,4430309.476859988
ISIC_0012927,11608029164522.004,3785960.0959009514,14264327.234093105,7205987.351119627,7205987.351119627
ISIC_0009995,950478400855.681,3714127.8357104203,6602410.415081942,4721153.232059111,4721153.232059111
ISIC_0014624,1097867588256.5946,3649667.3529568496,6714948.220900801,4092423.791306875,4092423.791306875
ISIC_0014139,2988973037454.334,2815251.5096991574,7844641.638854393,5073591.73389651,5073591.73389651
ISIC_0012959,616745392115.4169,3321687.7886959654,5403544.59123047,4542750.067600012,4542750.067600012
ISIC_0014985,1717744772400.392,1395686.7444671765,5782746.310806337,3025687.8299045046,3025687.8299045046
ISIC_0014162,193872726982.14362,4299756.335811755,5877148.422062691,4922834.184338471,4922834.184338471
ISIC_0012383,1159111516101.684,3952148.722012262,7423175.368409938,5477184.786855271,5477184.786855271
ISIC_0013651,949678682448.3549,1637805.15359016,5302486.332951821,3474490.974814412,3474490.974814412
ISIC_0014310,719965497016.6797,2537442.735475834,5173380.265100607,3702438.1009466774,3702438.1009466774
ISIC_0014217,940055514612.2405,3858201.2442101454,6911911.240546005,5249027.216319213,5249027.216319213
ISIC_0014611,1736832583608.8984,2728155.992945532,7171715.768309438,5479722.888389454,5479722.888389454
ISIC_0013232,984323053794.0188,794388.9151688934,3980372.06518965,1847169.2430185063,1847169.2430185063
ISIC_0010459,495107337252.55585,2023016.081146316,4045863.8840270103,3263067.750470938,3263067.750470938
ISIC_0013010,2114636589137.8098,1933104.7399002092,6148977.718272171,3240530.5747525347,3240530.5747525347
ISIC_0008524,1030073565022.2664,3401263.7093662955,6803618.109603944,4402115.36134966,4402115.36134966
ISIC_0008025,321606012609.3049,2023577.7727240683,3797819.33475114,3018645.5848686374,3018645.5848686374
ISIC_0012335,1720192377426.987,4344483.458551193,7462414.313036727,5352426.251148716,5352426.251148716
ISIC_0007156,3644740898309.621,4156488.242019015,9023779.097199442,5918689.642579431,5918689.642579431
ISIC_0001769,3178383712796.2075,2973303.2134701614,8340152.071418666,4687162.720827747,4687162.720827747
ISIC_0006651,568308348987.0669,1784651.7679120877,4101822.784335273,2957708.428131868,2957708.428131868
ISIC_0012191,367915777065.3824,1257974.2046350096,3142795.3002293017,1953749.0215165075,1953749.0215165075
ISIC_0013736,432837632568.2167,1550093.0627348316,3450008.7036273144,2550304.4100641925,2550304.4100641925
ISIC_0015256,1585530402193.031,2346443.2569985455,6377505.211626252,3914816.3301795097,3914816.3301795097
ISIC_0014212,4420215507176.9375,2871689.216775583,8715783.876292966,5012786.621469649,5012786.621469649
ISIC_0003582,2427008334350.1465,1939632.5080558504,6879295.135718412,3355509.870983772,3355509.870983772
ISIC_0014635,1400571324129.9097,3306899.821838465,7329941.824252566,4841473.770821062,4841473.770821062
ISIC_0014688,31777012794559.4,3847117.610653607,19007726.455915526,8288073.429112711,8288073.429112711
ISIC_0014055,771419624326.0159,2812638.1811938738,5581407.736250441,3824064.7515098536,3824064.7515098536
ISIC_0013082,4459922333646.273,4237854.925099646,11205527.802627694,5634530.210907514,5634530.210907514
ISIC_0007344,2319681480985.519,3559640.5530559374,8139971.819992245,5338828.816881675,5338828.816881675
ISIC_0012127,750436538552.2302,2152168.1390460418,4957317.521503151,3438361.403477301,3438361.403477301
ISIC_0014178,486426747422.7439,1748711.5585481082,3874126.0580997127,2311309.7294192957,2311309.7294192957
ISIC_0014979,3108744110961.18,3699642.487124298,8490085.992254501,4841127.4216558505,4841127.4216558505
ISIC_0013127,320745467860.6926,3638723.0264443066,5689358.568924223,4424497.492470754,4424497.492470754
ISIC_0014382,1860149757244.0674,1977146.1379106117,6629093.640791787,3950733.366460393,3950733.366460393
ISIC_0012159,333713520049.6757,2943963.8877436877,4923572.409028443,3796792.506367849,3796792.506367849
ISIC_0015443,941677065638.0042,2825659.592572713,5792139.805170663,4070629.600218095,4070629.600218095
ISIC_0013644,1502129936548.7227,3530172.544665047,6726560.1548618395,4723610.204791885,4723610.204791885
ISIC_0012206,2348289816555.5205,1891070.483747567,6646561.913345263,3485844.489735994,3485844.489735994
ISIC_0013898,410737257130.32776,2143767.0174084604,4091275.370922744,2606169.9340034244,2606169.9340034244
ISIC_0013561,814992891060.3394,2987605.959148592,5701287.035610159,4732387.938259433,4732387.938259433
ISIC_0012099,4822777980614.247,2639799.5205012294,10176193.475255769,4634432.9976207465,4634432.9976207465
ISIC_0006815,276839989366.1564,2981876.5686196885,4611906.9846595405,3806370.248493446,3806370.248493446
ISIC_0012109,6994402668942.611,3012440.903157756,10613197.342518734,4204739.054343287,4204739.054343287
ISIC_0012256,78250618532.56645,3726901.8568680347,4614234.88805417,4150086.8299258836,4150086.8299258836
ISIC_0013128,1107436646828.3389,2091509.1147279236,5446472.911599849,2976232.576043019,2976232.576043019
ISIC_0003805,918685914107.0747,2323607.6922730105,4941895.139614427,3709778.624518035,3709778.624518035
ISIC_0014597,1001746842623.5938,3709213.907154822,7064434.479349127,4801622.6225891365,4801622.6225891365
ISIC_0014610,2423876035886.048,1656878.7730723987,7355669.939535879,4056366.4476098814,4056366.4476098814
ISIC_0012417,655719521263.9249,3148075.513332085,5564420.074123482,3857303.390051267,3857303.390051267
